Country Origin Name,Country Origin Code,Migration by Gender Name,Migration by Gender Code,Country Dest Name,Country Dest Code,2000 [2000]
Afghanistan,AFG,Total,TOT,Algeria,DZA,8
Afghanistan,AFG,Total,TOT,Andorra,AND,6
Afghanistan,AFG,Total,TOT,Armenia,ARM,7
Afghanistan,AFG,Total,TOT,Australia,AUS,11128
Afghanistan,AFG,Total,TOT,Austria,AUT,2488
Afghanistan,AFG,Total,TOT,Bahrain,BHR,34419
Afghanistan,AFG,Total,TOT,Bangladesh,BGD,158
Afghanistan,AFG,Total,TOT,Belgium,BEL,209
Afghanistan,AFG,Total,TOT,Belize,BLZ,3
Afghanistan,AFG,Total,TOT,Bermuda,BMU,4
Afghanistan,AFG,Total,TOT,Bolivia,BOL,2
Afghanistan,AFG,Total,TOT,Bosnia and Herzegovina,BIH,2
Afghanistan,AFG,Total,TOT,Brazil,BRA,28
Afghanistan,AFG,Total,TOT,Bulgaria,BGR,826
Afghanistan,AFG,Total,TOT,Cambodia,KHM,3
Afghanistan,AFG,Total,TOT,Canada,CAN,21969
Afghanistan,AFG,Total,TOT,Chad,TCD,1
Afghanistan,AFG,Total,TOT,Chile,CHL,14
Afghanistan,AFG,Total,TOT,China,CHN,66
Afghanistan,AFG,Total,TOT,Colombia,COL,93
Afghanistan,AFG,Total,TOT,"Congo, Dem. Rep.",COD,3
Afghanistan,AFG,Total,TOT,Costa Rica,CRI,3
Afghanistan,AFG,Total,TOT,Croatia,HRV,2
Afghanistan,AFG,Total,TOT,Cyprus,CYP,4
Afghanistan,AFG,Total,TOT,Czech Republic,CZE,211
Afghanistan,AFG,Total,TOT,Denmark,DNK,4198
Afghanistan,AFG,Total,TOT,Dominican Republic,DOM,7
Afghanistan,AFG,Total,TOT,Ecuador,ECU,19
Afghanistan,AFG,Total,TOT,"Egypt, Arab Rep.",EGY,277
Afghanistan,AFG,Total,TOT,Fiji,FJI,9
Afghanistan,AFG,Total,TOT,Finland,FIN,322
Afghanistan,AFG,Total,TOT,France,FRA,2981
Afghanistan,AFG,Total,TOT,French Polynesia,PYF,1
Afghanistan,AFG,Total,TOT,Germany,DEU,15529
Afghanistan,AFG,Total,TOT,Ghana,GHA,11
Afghanistan,AFG,Total,TOT,Greece,GRC,357
Afghanistan,AFG,Total,TOT,Guam,GUM,8
Afghanistan,AFG,Total,TOT,Honduras,HND,3
Afghanistan,AFG,Total,TOT,"Hong Kong SAR, China",HKG,599
Afghanistan,AFG,Total,TOT,Hungary,HUN,81
Afghanistan,AFG,Total,TOT,India,IND,9671
Afghanistan,AFG,Total,TOT,Indonesia,IDN,17
Afghanistan,AFG,Total,TOT,"Iran, Islamic Rep.",IRN,762129
Afghanistan,AFG,Total,TOT,Ireland,IRL,93
Afghanistan,AFG,Total,TOT,Israel,ISR,429
Afghanistan,AFG,Total,TOT,Italy,ITA,202
Afghanistan,AFG,Total,TOT,Japan,JPN,206
Afghanistan,AFG,Total,TOT,Jordan,JOR,62
Afghanistan,AFG,Total,TOT,"Korea, Dem. Rep.",PRK,6
Afghanistan,AFG,Total,TOT,Kuwait,KWT,88350
Afghanistan,AFG,Total,TOT,Kyrgyz Republic,KGZ,1174
Afghanistan,AFG,Total,TOT,Latvia,LVA,32
Afghanistan,AFG,Total,TOT,Lebanon,LBN,23718
Afghanistan,AFG,Total,TOT,Libya,LBY,1011
Afghanistan,AFG,Total,TOT,Liechtenstein,LIE,2
Afghanistan,AFG,Total,TOT,Lithuania,LTU,35
Afghanistan,AFG,Total,TOT,Luxembourg,LUX,1
Afghanistan,AFG,Total,TOT,"Macao SAR, China",MAC,4
Afghanistan,AFG,Total,TOT,"Macedonia, FYR",MKD,29
Afghanistan,AFG,Total,TOT,Madagascar,MDG,2
Afghanistan,AFG,Total,TOT,Malaysia,MYS,103
Afghanistan,AFG,Total,TOT,Maldives,MDV,4
Afghanistan,AFG,Total,TOT,Malta,MLT,5
Afghanistan,AFG,Total,TOT,Mauritania,MRT,1
Afghanistan,AFG,Total,TOT,Mauritius,MUS,1
Afghanistan,AFG,Total,TOT,Mexico,MEX,9
Afghanistan,AFG,Total,TOT,Monaco,MCO,9
Afghanistan,AFG,Total,TOT,Morocco,MAR,9
Afghanistan,AFG,Total,TOT,Mozambique,MOZ,2
Afghanistan,AFG,Total,TOT,Myanmar,MMR,5
Afghanistan,AFG,Total,TOT,Nepal,NPL,74
Afghanistan,AFG,Total,TOT,Netherlands,NLD,26955
Afghanistan,AFG,Total,TOT,New Caledonia,NCL,3
Afghanistan,AFG,Total,TOT,New Zealand,NZL,727
Afghanistan,AFG,Total,TOT,Nicaragua,NIC,25
Afghanistan,AFG,Total,TOT,Nigeria,NGA,1
Afghanistan,AFG,Total,TOT,Northern Mariana Islands,MNP,9
Afghanistan,AFG,Total,TOT,Norway,NOR,652
Afghanistan,AFG,Total,TOT,Oman,OMN,1148
Afghanistan,AFG,Total,TOT,Pakistan,PAK,14461
Afghanistan,AFG,Total,TOT,Palau,PLW,2
Afghanistan,AFG,Total,TOT,Papua New Guinea,PNG,11
Afghanistan,AFG,Total,TOT,Paraguay,PRY,5
Afghanistan,AFG,Total,TOT,Peru,PER,8
Afghanistan,AFG,Total,TOT,Philippines,PHL,751
Afghanistan,AFG,Total,TOT,Poland,POL,165
Afghanistan,AFG,Total,TOT,Qatar,QAT,35442
Afghanistan,AFG,Total,TOT,Russian Federation,RUS,406
Afghanistan,AFG,Total,TOT,Saudi Arabia,SAU,12746
Afghanistan,AFG,Total,TOT,Serbia and Montenegro,SCG,5
Afghanistan,AFG,Total,TOT,Singapore,SGP,181
Afghanistan,AFG,Total,TOT,Slovak Republic,SVK,73
Afghanistan,AFG,Total,TOT,Slovenia,SVN,2
Afghanistan,AFG,Total,TOT,South Africa,ZAF,26
Afghanistan,AFG,Total,TOT,Spain,ESP,123
Afghanistan,AFG,Total,TOT,Sri Lanka,LKA,83
Afghanistan,AFG,Total,TOT,Sudan,SDN,10
Afghanistan,AFG,Total,TOT,Sweden,SWE,4239
Afghanistan,AFG,Total,TOT,Switzerland,CHE,2395
Afghanistan,AFG,Total,TOT,Syrian Arab Republic,SYR,9172
Afghanistan,AFG,Total,TOT,"Taiwan, China",TWN,1
Afghanistan,AFG,Total,TOT,Tajikistan,TJK,1571
Afghanistan,AFG,Total,TOT,Tanzania,TZA,7
Afghanistan,AFG,Total,TOT,Thailand,THA,596
Afghanistan,AFG,Total,TOT,Tonga,TON,2
Afghanistan,AFG,Total,TOT,Tunisia,TUN,112
Afghanistan,AFG,Total,TOT,Turkey,TUR,9630
Afghanistan,AFG,Total,TOT,Ukraine,UKR,197
Afghanistan,AFG,Total,TOT,United Arab Emirates,ARE,26430
Afghanistan,AFG,Total,TOT,United Kingdom,GBR,5
Afghanistan,AFG,Total,TOT,United States,USA,44893
Afghanistan,AFG,Total,TOT,"Venezuela, RB",VEN,10
Afghanistan,AFG,Total,TOT,Vietnam,VNM,19
Afghanistan,AFG,Total,TOT,West Bank and Gaza,PSE,111
Afghanistan,AFG,Total,TOT,"Yemen, Rep.",YEM,2845
Afghanistan,AFG,Total,TOT,Zimbabwe,ZWE,1
Albania,ALB,Total,TOT,Algeria,DZA,3
Albania,ALB,Total,TOT,Andorra,AND,152
Albania,ALB,Total,TOT,Angola,AGO,1
Albania,ALB,Total,TOT,Armenia,ARM,7
Albania,ALB,Total,TOT,Australia,AUS,1437
Albania,ALB,Total,TOT,Austria,AUT,2372
Albania,ALB,Total,TOT,Bahrain,BHR,2
Albania,ALB,Total,TOT,Bangladesh,BGD,2
Albania,ALB,Total,TOT,Belgium,BEL,1951
Albania,ALB,Total,TOT,Belize,BLZ,4
Albania,ALB,Total,TOT,Benin,BEN,12
Albania,ALB,Total,TOT,Bermuda,BMU,3
Albania,ALB,Total,TOT,Bolivia,BOL,12
Albania,ALB,Total,TOT,Bosnia and Herzegovina,BIH,753
Albania,ALB,Total,TOT,Brazil,BRA,1
Albania,ALB,Total,TOT,Bulgaria,BGR,424
Albania,ALB,Total,TOT,Burkina Faso,BFA,2
Albania,ALB,Total,TOT,Cambodia,KHM,4
Albania,ALB,Total,TOT,Cameroon,CMR,8
Albania,ALB,Total,TOT,Canada,CAN,6102
Albania,ALB,Total,TOT,Cape Verde,CPV,14
Albania,ALB,Total,TOT,Central African Republic,CAF,6
Albania,ALB,Total,TOT,Chad,TCD,1
Albania,ALB,Total,TOT,Chile,CHL,25
Albania,ALB,Total,TOT,China,CHN,1
Albania,ALB,Total,TOT,Colombia,COL,40
Albania,ALB,Total,TOT,"Congo, Dem. Rep.",COD,241
Albania,ALB,Total,TOT,"Congo, Rep.",COG,6
Albania,ALB,Total,TOT,Costa Rica,CRI,3
Albania,ALB,Total,TOT,Cote d'Ivoire,CIV,18
Albania,ALB,Total,TOT,Croatia,HRV,182
Albania,ALB,Total,TOT,Cuba,CUB,118
Albania,ALB,Total,TOT,Cyprus,CYP,126
Albania,ALB,Total,TOT,Czech Republic,CZE,180
Albania,ALB,Total,TOT,Denmark,DNK,91
Albania,ALB,Total,TOT,Dominican Republic,DOM,26
Albania,ALB,Total,TOT,Ecuador,ECU,24
Albania,ALB,Total,TOT,"Egypt, Arab Rep.",EGY,114
Albania,ALB,Total,TOT,Ethiopia,ETH,14
Albania,ALB,Total,TOT,Faeroe Islands,FRO,2
Albania,ALB,Total,TOT,Finland,FIN,48
Albania,ALB,Total,TOT,France,FRA,32356
Albania,ALB,Total,TOT,Gabon,GAB,21
Albania,ALB,Total,TOT,"Gambia, The",GMB,9
Albania,ALB,Total,TOT,Germany,DEU,221897
Albania,ALB,Total,TOT,Ghana,GHA,23
Albania,ALB,Total,TOT,Gibraltar,GIB,2
Albania,ALB,Total,TOT,Greece,GRC,420838
Albania,ALB,Total,TOT,Guadeloupe,GLP,4
Albania,ALB,Total,TOT,Guatemala,GTM,2
Albania,ALB,Total,TOT,Guinea,GIN,12
Albania,ALB,Total,TOT,Honduras,HND,3
Albania,ALB,Total,TOT,"Hong Kong SAR, China",HKG,14
Albania,ALB,Total,TOT,Hungary,HUN,359
Albania,ALB,Total,TOT,Iceland,ISL,20
Albania,ALB,Total,TOT,India,IND,58
Albania,ALB,Total,TOT,Indonesia,IDN,32
Albania,ALB,Total,TOT,"Iran, Islamic Rep.",IRN,4
Albania,ALB,Total,TOT,Ireland,IRL,184
Albania,ALB,Total,TOT,Israel,ISR,433
Albania,ALB,Total,TOT,Italy,ITA,275300
Albania,ALB,Total,TOT,Japan,JPN,2
Albania,ALB,Total,TOT,Jordan,JOR,11
Albania,ALB,Total,TOT,Kuwait,KWT,14
Albania,ALB,Total,TOT,Kyrgyz Republic,KGZ,6
Albania,ALB,Total,TOT,Lao PDR,LAO,2
Albania,ALB,Total,TOT,Latvia,LVA,6
Albania,ALB,Total,TOT,Lebanon,LBN,104
Albania,ALB,Total,TOT,Libya,LBY,2
Albania,ALB,Total,TOT,Liechtenstein,LIE,2
Albania,ALB,Total,TOT,Lithuania,LTU,5
Albania,ALB,Total,TOT,Luxembourg,LUX,221
Albania,ALB,Total,TOT,"Macedonia, FYR",MKD,2146
Albania,ALB,Total,TOT,Madagascar,MDG,14
Albania,ALB,Total,TOT,Malaysia,MYS,23
Albania,ALB,Total,TOT,Martinique,MTQ,2
Albania,ALB,Total,TOT,Mexico,MEX,8
Albania,ALB,Total,TOT,Monaco,MCO,93
Albania,ALB,Total,TOT,Mozambique,MOZ,1
Albania,ALB,Total,TOT,Myanmar,MMR,10
Albania,ALB,Total,TOT,Namibia,NAM,2
Albania,ALB,Total,TOT,Nepal,NPL,4
Albania,ALB,Total,TOT,Netherlands,NLD,509
Albania,ALB,Total,TOT,Netherlands Antilles,ANT,2
Albania,ALB,Total,TOT,New Zealand,NZL,62
Albania,ALB,Total,TOT,Nicaragua,NIC,30
Albania,ALB,Total,TOT,Niger,NER,8
Albania,ALB,Total,TOT,Nigeria,NGA,70
Albania,ALB,Total,TOT,Norway,NOR,152
Albania,ALB,Total,TOT,Oman,OMN,7
Albania,ALB,Total,TOT,Pakistan,PAK,7
Albania,ALB,Total,TOT,Panama,PAN,15
Albania,ALB,Total,TOT,Peru,PER,18
Albania,ALB,Total,TOT,Philippines,PHL,600
Albania,ALB,Total,TOT,Poland,POL,70
Albania,ALB,Total,TOT,Puerto Rico,PRI,10
Albania,ALB,Total,TOT,Qatar,QAT,156
